,Air Conditioners,Air Purifiers,Radiators,Fans,Coffee Makers,Juicers,Kitchen Scales,Deep Fryers,Cookers,Electric Kettles,Fridges,Ovens,Washing Machines,Dishwashers,Freezers,Hobs,Microwave Ovens,Vacuum Cleaners,Irons,Stand Mixers,Cameras,Chargers,Smart Watches,Smartphones,Drones,Gaming Consoles,PC Games,VR Headsets,Tablets,Radios,Computer Mice,Desktop Computers,Keyboards,Printers,Monitors,Scanners,Microphones,Speakers,Graphic Cards,Laptops,Headphones,E-Readers,Phone Cases,Processors,Televisions,Electric Toothbrushes,Hair Dryers,Shavers,Trimmers,Musical Instruments
Air Conditioners,0.0,35.0,35.0,30.0,5.0,5.0,2.5,2.5,5.0,2.5,7.5,7.5,12.5,10.0,7.5,5.0,0.0,22.5,10.0,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,5.0,0.0,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,7.5,10.0,2.5,7.5,7.5,0.0
Air Purifiers,35.0,0.0,37.5,25.0,5.0,2.5,5.0,2.5,5.0,5.0,5.0,5.0,15.0,7.5,0.0,2.5,5.0,22.5,20.0,2.5,7.5,5.0,7.5,2.5,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,5.0,2.5,5.0,5.0,5.0,2.5,2.5,5.0,5.0,0.0,7.5,7.5,7.5,10.0,10.0,10.0,2.5
Radiators,35.0,37.5,0.0,27.500000000000004,10.0,12.5,7.5,10.0,12.5,7.5,15.0,12.5,20.0,12.5,12.5,10.0,10.0,25.0,12.5,7.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,2.5,10.0,7.5,12.5,12.5,2.5
Fans,30.0,25.0,27.500000000000004,0.0,5.0,7.5,5.0,5.0,5.0,2.5,7.5,2.5,12.5,2.5,5.0,5.0,5.0,22.5,15.0,5.0,5.0,2.5,5.0,5.0,0.0,0.0,2.5,0.0,0.0,5.0,2.5,5.0,2.5,7.5,2.5,5.0,2.5,2.5,0.0,5.0,5.0,2.5,0.0,2.5,7.5,15.0,7.5,5.0,7.5,5.0
Coffee Makers,5.0,5.0,10.0,5.0,0.0,42.5,42.5,37.5,32.5,35.0,27.500000000000004,27.500000000000004,17.5,32.5,27.500000000000004,30.0,32.5,10.0,10.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,2.5,2.5,5.0,7.5,0.0
Juicers,5.0,2.5,12.5,7.5,42.5,0.0,45.0,37.5,30.0,30.0,30.0,27.500000000000004,20.0,22.5,30.0,22.5,30.0,10.0,7.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.5,5.0,0.0,5.0,5.0,0.0
Kitchen Scales,2.5,5.0,7.5,5.0,42.5,45.0,0.0,40.0,35.0,35.0,25.0,27.500000000000004,20.0,30.0,27.500000000000004,20.0,30.0,7.5,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,10.0,2.5,2.5,5.0,0.0
Deep Fryers,2.5,2.5,10.0,5.0,37.5,37.5,40.0,0.0,32.5,25.0,35.0,25.0,17.5,27.500000000000004,22.5,25.0,27.500000000000004,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,2.5,2.5,0.0
Cookers,5.0,5.0,12.5,5.0,32.5,30.0,35.0,32.5,0.0,30.0,32.5,35.0,35.0,32.5,32.5,32.5,25.0,12.5,7.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.5,7.5,7.5,7.5,0.0
Electric Kettles,2.5,5.0,7.5,2.5,35.0,30.0,35.0,25.0,30.0,0.0,20.0,20.0,15.0,22.5,22.5,17.5,25.0,10.0,12.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,5.0,5.0,7.5,0.0
Fridges,7.5,5.0,15.0,7.5,27.500000000000004,30.0,25.0,35.0,32.5,20.0,0.0,27.500000000000004,22.5,32.5,32.5,25.0,22.5,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,5.0,5.0,2.5,2.5,0.0
Ovens,7.5,5.0,12.5,2.5,27.500000000000004,27.500000000000004,27.500000000000004,25.0,35.0,20.0,27.500000000000004,0.0,20.0,32.5,30.0,30.0,25.0,10.0,2.5,17.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,7.5,2.5,0.0,2.5,0.0,0.0,5.0,2.5,0.0,2.5,0.0,2.5,2.5,0.0,7.5,2.5,7.5,2.5,5.0,5.0,0.0
Washing Machines,12.5,15.0,20.0,12.5,17.5,20.0,20.0,17.5,35.0,15.0,22.5,20.0,0.0,35.0,27.500000000000004,20.0,17.5,27.500000000000004,7.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2.5,7.5,7.5,5.0,7.5,2.5
Dishwashers,10.0,7.5,12.5,2.5,32.5,22.5,30.0,27.500000000000004,32.5,22.5,32.5,32.5,35.0,0.0,42.5,35.0,25.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2.5,5.0,2.5,2.5,2.5,0.0
Freezers,7.5,0.0,12.5,5.0,27.500000000000004,30.0,27.500000000000004,22.5,32.5,22.5,32.5,30.0,27.500000000000004,42.5,0.0,30.0,25.0,12.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0
Hobs,5.0,2.5,10.0,5.0,30.0,22.5,20.0,25.0,32.5,17.5,25.0,30.0,20.0,35.0,30.0,0.0,27.500000000000004,5.0,2.5,15.0,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.0,2.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,2.5,7.5,2.5,2.5,2.5,0.0
Microwave Ovens,0.0,5.0,10.0,5.0,32.5,30.0,30.0,27.500000000000004,25.0,25.0,22.5,25.0,17.5,25.0,25.0,27.500000000000004,0.0,12.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,5.0,5.0,2.5,5.0,0.0
Vacuum Cleaners,22.5,22.5,25.0,22.5,10.0,10.0,7.5,10.0,12.5,10.0,10.0,10.0,27.500000000000004,10.0,12.5,5.0,12.5,0.0,25.0,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,7.5,7.5,7.5,5.0,10.0,2.5
Irons,10.0,20.0,12.5,15.0,10.0,7.5,10.0,10.0,7.5,12.5,5.0,2.5,7.5,5.0,0.0,2.5,10.0,25.0,0.0,7.5,5.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,15.0,12.5,12.5,15.0,0.0
Stand Mixers,5.0,2.5,7.5,5.0,22.5,15.0,25.0,20.0,17.5,17.5,10.0,17.5,10.0,15.0,5.0,15.0,10.0,12.5,7.5,0.0,2.5,2.5,0.0,2.5,2.5,2.5,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,2.5,10.0,5.0,5.0,2.5,2.5,5.0,2.5
Cameras,2.5,7.5,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,2.5,5.0,2.5,0.0,25.0,27.500000000000004,20.0,25.0,22.5,17.5,20.0,22.5,27.500000000000004,12.5,15.0,15.0,12.5,5.0,17.5,17.5,17.5,12.5,15.0,20.0,17.5,10.0,15.0,22.5,17.5,5.0,5.0,5.0,15.0
Chargers,2.5,5.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,25.0,0.0,30.0,20.0,15.0,17.5,12.5,12.5,25.0,12.5,17.5,20.0,20.0,15.0,12.5,20.0,20.0,22.5,12.5,15.0,22.5,17.5,22.5,15.0,15.0,12.5,2.5,2.5,5.0,12.5
Smart Watches,2.5,7.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,27.500000000000004,30.0,0.0,35.0,27.500000000000004,15.0,12.5,15.0,27.500000000000004,22.5,10.0,15.0,10.0,12.5,10.0,10.0,17.5,15.0,7.5,15.0,22.5,25.0,17.5,12.5,12.5,10.0,2.5,2.5,2.5,7.5
Smartphones,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,20.0,20.0,35.0,0.0,17.5,17.5,17.5,17.5,20.0,12.5,7.5,10.0,7.5,10.0,2.5,5.0,10.0,5.0,12.5,7.5,20.0,17.5,17.5,7.5,10.0,10.0,2.5,2.5,2.5,5.0
Drones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,25.0,15.0,27.500000000000004,17.5,0.0,22.5,22.5,22.5,25.0,27.500000000000004,10.0,7.5,15.0,5.0,7.5,15.0,12.5,7.5,12.5,7.5,15.0,17.5,12.5,12.5,10.0,10.0,0.0,0.0,0.0,17.5
Gaming Consoles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,22.5,17.5,15.0,17.5,22.5,0.0,47.5,45.0,30.0,22.5,25.0,25.0,25.0,20.0,20.0,20.0,22.5,22.5,17.5,22.5,17.5,17.5,5.0,20.0,12.5,7.5,0.0,0.0,0.0,12.5
PC Games,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,17.5,12.5,12.5,17.5,22.5,47.5,0.0,40.0,22.5,20.0,25.0,22.5,25.0,12.5,22.5,17.5,17.5,20.0,20.0,17.5,15.0,20.0,7.5,20.0,7.5,7.5,0.0,0.0,0.0,15.0
VR Headsets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,20.0,12.5,15.0,17.5,22.5,45.0,40.0,0.0,25.0,22.5,15.0,17.5,22.5,7.5,17.5,7.5,17.5,15.0,17.5,22.5,12.5,17.5,5.0,15.0,12.5,5.0,0.0,0.0,0.0,12.5
Tablets,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,22.5,25.0,27.500000000000004,20.0,25.0,30.0,22.5,25.0,0.0,20.0,15.0,20.0,17.5,17.5,17.5,20.0,15.0,12.5,15.0,17.5,12.5,20.0,12.5,17.5,15.0,7.5,0.0,0.0,0.0,12.5
Radios,2.5,2.5,5.0,5.0,0.0,0.0,0.0,2.5,5.0,5.0,2.5,7.5,0.0,0.0,0.0,5.0,0.0,5.0,5.0,2.5,27.500000000000004,12.5,22.5,12.5,27.500000000000004,22.5,20.0,22.5,20.0,0.0,7.5,12.5,10.0,7.5,7.5,20.0,20.0,25.0,7.5,12.5,22.5,12.5,7.5,10.0,20.0,10.0,2.5,2.5,2.5,17.5
Computer Mice,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,12.5,17.5,10.0,7.5,10.0,25.0,25.0,15.0,15.0,7.5,0.0,30.0,37.5,30.0,35.0,30.0,17.5,22.5,22.5,17.5,17.5,17.5,5.0,17.5,5.0,7.5,2.5,2.5,5.0,2.5
Desktop Computers,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,15.0,10.0,7.5,25.0,22.5,17.5,20.0,12.5,30.0,0.0,40.0,40.0,32.5,30.0,22.5,30.0,22.5,27.500000000000004,12.5,10.0,2.5,22.5,7.5,5.0,5.0,2.5,2.5,7.5
Keyboards,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,15.0,20.0,10.0,7.5,15.0,25.0,25.0,22.5,17.5,10.0,37.5,40.0,0.0,27.500000000000004,37.5,27.500000000000004,22.5,32.5,30.0,30.0,17.5,17.5,0.0,17.5,7.5,7.5,5.0,5.0,5.0,7.5
Printers,5.0,5.0,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,15.0,12.5,10.0,5.0,20.0,12.5,7.5,17.5,7.5,30.0,40.0,27.500000000000004,0.0,25.0,35.0,17.5,22.5,17.5,25.0,12.5,15.0,2.5,20.0,10.0,5.0,2.5,2.5,2.5,5.0
Monitors,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,0.0,0.0,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,5.0,12.5,10.0,2.5,7.5,20.0,22.5,17.5,17.5,7.5,35.0,32.5,37.5,25.0,0.0,30.0,17.5,20.0,20.0,27.500000000000004,10.0,10.0,2.5,17.5,5.0,2.5,5.0,5.0,5.0,5.0
Scanners,2.5,5.0,2.5,5.0,2.5,0.0,0.0,0.0,5.0,5.0,0.0,5.0,2.5,0.0,0.0,5.0,2.5,2.5,2.5,0.0,17.5,20.0,10.0,5.0,15.0,20.0,17.5,7.5,20.0,20.0,30.0,30.0,27.500000000000004,35.0,30.0,0.0,22.5,20.0,12.5,17.5,15.0,17.5,5.0,17.5,10.0,10.0,5.0,5.0,5.0,7.5
Microphones,2.5,5.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,20.0,17.5,10.0,12.5,22.5,17.5,17.5,15.0,20.0,17.5,22.5,22.5,17.5,17.5,22.5,0.0,40.0,12.5,22.5,20.0,17.5,5.0,17.5,15.0,5.0,0.0,0.0,0.0,5.0
Speakers,2.5,5.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,22.5,15.0,5.0,7.5,22.5,20.0,15.0,12.5,25.0,22.5,30.0,32.5,22.5,20.0,20.0,40.0,0.0,15.0,27.500000000000004,27.500000000000004,15.0,2.5,22.5,12.5,5.0,2.5,2.5,2.5,10.0
Graphic Cards,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,2.5,12.5,12.5,7.5,12.5,12.5,17.5,20.0,17.5,15.0,7.5,22.5,22.5,30.0,17.5,20.0,12.5,12.5,15.0,0.0,15.0,17.5,17.5,5.0,20.0,7.5,5.0,0.0,0.0,0.0,5.0
Laptops,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,7.5,7.5,22.5,17.5,22.5,17.5,12.5,17.5,27.500000000000004,30.0,25.0,27.500000000000004,17.5,22.5,27.500000000000004,15.0,0.0,7.5,5.0,0.0,20.0,12.5,5.0,2.5,2.5,2.5,7.5
Headphones,2.5,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,20.0,22.5,22.5,20.0,15.0,17.5,15.0,12.5,12.5,22.5,17.5,12.5,17.5,12.5,10.0,15.0,20.0,27.500000000000004,17.5,7.5,0.0,17.5,7.5,12.5,10.0,10.0,2.5,2.5,2.5,10.0
E-Readers,2.5,5.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,17.5,25.0,17.5,17.5,17.5,20.0,17.5,20.0,12.5,17.5,10.0,17.5,15.0,10.0,17.5,17.5,15.0,17.5,5.0,17.5,0.0,12.5,5.0,10.0,7.5,0.0,0.0,0.0,10.0
Phone Cases,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,10.0,22.5,17.5,17.5,12.5,5.0,7.5,5.0,12.5,7.5,5.0,2.5,0.0,2.5,2.5,5.0,5.0,2.5,5.0,0.0,7.5,12.5,0.0,7.5,2.5,12.5,2.5,5.0,5.0,7.5
Processors,2.5,7.5,5.0,2.5,5.0,7.5,7.5,5.0,5.0,2.5,2.5,7.5,2.5,2.5,0.0,5.0,2.5,2.5,0.0,10.0,15.0,15.0,12.5,7.5,12.5,20.0,20.0,15.0,17.5,10.0,17.5,22.5,17.5,20.0,17.5,17.5,17.5,22.5,20.0,20.0,12.5,5.0,7.5,0.0,7.5,7.5,2.5,5.0,2.5,7.5
Televisions,7.5,7.5,2.5,7.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,7.5,5.0,5.0,22.5,15.0,12.5,10.0,10.0,12.5,7.5,12.5,15.0,20.0,5.0,7.5,7.5,10.0,5.0,10.0,15.0,12.5,7.5,12.5,10.0,10.0,2.5,7.5,0.0,12.5,5.0,5.0,5.0,7.5
Electric Toothbrushes,10.0,7.5,10.0,15.0,2.5,5.0,10.0,5.0,7.5,2.5,5.0,7.5,7.5,5.0,2.5,7.5,5.0,7.5,15.0,5.0,17.5,12.5,10.0,10.0,10.0,7.5,7.5,5.0,7.5,10.0,7.5,5.0,7.5,5.0,2.5,10.0,5.0,5.0,5.0,5.0,10.0,7.5,12.5,7.5,12.5,0.0,45.0,35.0,37.5,10.0
Hair Dryers,2.5,10.0,7.5,7.5,2.5,0.0,2.5,5.0,7.5,5.0,5.0,2.5,7.5,2.5,0.0,2.5,5.0,7.5,12.5,2.5,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,5.0,5.0,2.5,5.0,5.0,0.0,2.5,0.0,2.5,2.5,0.0,2.5,2.5,5.0,45.0,0.0,30.0,32.5,2.5
Shavers,7.5,10.0,12.5,5.0,5.0,5.0,2.5,2.5,7.5,5.0,2.5,5.0,5.0,2.5,2.5,2.5,2.5,5.0,12.5,2.5,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,2.5,5.0,5.0,0.0,2.5,0.0,2.5,2.5,0.0,5.0,5.0,5.0,35.0,30.0,0.0,45.0,0.0
Trimmers,7.5,10.0,12.5,7.5,7.5,5.0,5.0,2.5,7.5,7.5,2.5,5.0,7.5,2.5,2.5,2.5,5.0,10.0,15.0,5.0,5.0,5.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,5.0,2.5,5.0,2.5,5.0,5.0,0.0,2.5,0.0,2.5,2.5,0.0,5.0,2.5,5.0,37.5,32.5,45.0,0.0,2.5
Musical Instruments,0.0,2.5,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,2.5,15.0,12.5,7.5,5.0,17.5,12.5,15.0,12.5,12.5,17.5,2.5,7.5,7.5,5.0,5.0,7.5,5.0,10.0,5.0,7.5,10.0,10.0,7.5,7.5,7.5,10.0,2.5,0.0,2.5,0.0
