,Air Conditioners,Radiators,Air Purifiers,Fans,Coffee Makers,Electric Kettles,Juicers,Kitchen Scales,Deep Fryers,Cookers,Hobs,Ovens,Dishwashers,Freezers,Fridges,Microwave Ovens,Washing Machines,Irons,Vacuum Cleaners,Stand Mixers,Cameras,Televisions,Radios,Smart Watches,Smartphones,Tablets,E-Readers,Chargers,Gaming Consoles,PC Games,VR Headsets,Computer Mice,Keyboards,Monitors,Desktop Computers,Printers,Laptops,Microphones,Speakers,Scanners,Processors,Headphones,Phone Cases,Graphic Cards,Drones,Musical Instruments,Electric Toothbrushes,Hair Dryers,Shavers,Trimmers
Air Conditioners,0.0,100.0,87.5,80.0,13.333333333333334,7.142857142857142,14.285714285714285,5.88235294117647,8.333333333333332,11.76470588235294,13.333333333333334,20.0,23.52941176470588,17.647058823529413,23.076923076923077,0.0,38.46153846153847,33.33333333333333,69.23076923076923,22.22222222222222,6.666666666666667,37.5,5.555555555555555,5.555555555555555,0.0,0.0,7.142857142857142,6.666666666666667,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,12.5,0.0,7.6923076923076925,7.142857142857142,6.25,8.333333333333332,8.333333333333332,9.090909090909092,6.666666666666667,0.0,0.0,23.52941176470588,7.6923076923076925,20.0,17.647058823529413
Radiators,100.0,0.0,83.33333333333334,78.57142857142857,26.666666666666668,21.428571428571427,33.33333333333333,20.0,33.33333333333333,31.25,25.0,35.714285714285715,27.77777777777778,31.25,40.0,30.76923076923077,47.05882352941176,38.46153846153847,71.42857142857143,23.076923076923077,5.88235294117647,11.11111111111111,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,6.25,0.0,6.25,0.0,0.0,0.0,5.88235294117647,18.181818181818183,0.0,6.25,0.0,0.0,7.142857142857142,17.391304347826086,21.428571428571427,33.33333333333333,29.411764705882355
Air Purifiers,87.5,83.33333333333334,0.0,71.42857142857143,11.11111111111111,14.285714285714285,7.6923076923076925,10.526315789473683,6.666666666666667,11.76470588235294,5.88235294117647,13.333333333333334,14.285714285714285,0.0,15.384615384615385,13.333333333333334,37.5,47.05882352941176,64.28571428571429,6.666666666666667,17.647058823529413,23.076923076923077,5.555555555555555,15.789473684210526,7.6923076923076925,5.88235294117647,12.5,11.76470588235294,0.0,0.0,0.0,5.555555555555555,5.263157894736842,5.88235294117647,5.88235294117647,13.333333333333334,7.6923076923076925,13.333333333333334,10.0,9.523809523809524,18.75,13.333333333333334,0.0,5.555555555555555,0.0,6.25,15.0,26.666666666666668,23.52941176470588,19.047619047619047
Fans,80.0,78.57142857142857,71.42857142857143,0.0,15.384615384615385,12.5,23.076923076923077,13.333333333333334,15.384615384615385,16.666666666666664,16.666666666666664,6.666666666666667,6.25,12.5,27.27272727272727,20.0,41.66666666666667,60.0,64.28571428571429,18.181818181818183,16.666666666666664,30.0,11.11111111111111,13.333333333333334,16.666666666666664,0.0,7.6923076923076925,7.6923076923076925,0.0,6.666666666666667,0.0,8.333333333333332,6.25,9.090909090909092,15.384615384615385,21.428571428571427,16.666666666666664,8.333333333333332,6.666666666666667,16.666666666666664,9.090909090909092,15.384615384615385,0.0,0.0,0.0,18.181818181818183,35.294117647058826,27.27272727272727,16.666666666666664,23.076923076923077
Coffee Makers,13.333333333333334,26.666666666666668,11.11111111111111,15.384615384615385,0.0,100.0,94.44444444444444,89.47368421052632,88.23529411764706,86.66666666666667,70.58823529411765,68.75,72.22222222222221,73.33333333333333,73.33333333333333,81.25,46.666666666666664,25.0,30.76923076923077,69.23076923076923,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263157894736842,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,7.142857142857142,13.333333333333334,0.0,0.0,0.0,0.0,0.0,5.263157894736842,7.6923076923076925,11.76470588235294,15.789473684210526
Electric Kettles,7.142857142857142,21.428571428571427,14.285714285714285,12.5,100.0,0.0,100.0,93.33333333333333,90.9090909090909,80.0,70.0,72.72727272727273,64.28571428571429,69.23076923076923,61.53846153846154,83.33333333333334,50.0,38.46153846153847,30.76923076923077,70.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,16.666666666666664,10.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,18.181818181818183,18.181818181818183,21.428571428571427
Juicers,14.285714285714285,33.33333333333333,7.6923076923076925,23.076923076923077,94.44444444444444,100.0,0.0,94.73684210526315,88.23529411764706,80.0,69.23076923076923,64.70588235294117,56.25,70.58823529411765,75.0,80.0,50.0,21.428571428571427,28.57142857142857,66.66666666666666,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683,0.0,16.666666666666664,12.5
Kitchen Scales,5.88235294117647,20.0,10.526315789473683,13.333333333333334,89.47368421052632,93.33333333333333,94.73684210526315,0.0,94.11764705882352,73.68421052631578,53.333333333333336,57.89473684210527,57.14285714285714,57.89473684210527,66.66666666666666,75.0,47.05882352941176,25.0,23.076923076923077,76.92307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.428571428571427,0.0,0.0,0.0,0.0,0.0,19.047619047619047,6.25,7.6923076923076925,10.0
Deep Fryers,8.333333333333332,33.33333333333333,6.666666666666667,15.384615384615385,88.23529411764706,90.9090909090909,88.23529411764706,94.11764705882352,0.0,81.25,83.33333333333334,66.66666666666666,64.70588235294117,69.23076923076923,82.35294117647058,84.61538461538461,46.666666666666664,25.0,30.76923076923077,72.72727272727273,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,6.25,0.0,0.0,10.526315789473683,15.384615384615385,7.142857142857142,5.88235294117647
Cookers,11.76470588235294,31.25,11.76470588235294,16.666666666666664,86.66666666666667,80.0,80.0,73.68421052631578,81.25,0.0,100.0,93.33333333333333,76.47058823529412,86.66666666666667,92.85714285714286,83.33333333333334,70.0,18.75,33.33333333333333,58.333333333333336,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263157894736842,6.25,0.0,0.0,0.0,0.0,0.0,12.5,16.666666666666664,0.0,0.0,0.0,0.0,0.0,14.285714285714285,20.0,20.0,15.789473684210526
Hobs,13.333333333333334,25.0,5.88235294117647,16.666666666666664,70.58823529411765,70.0,69.23076923076923,53.333333333333336,83.33333333333334,100.0,0.0,85.71428571428571,82.35294117647058,80.0,76.92307692307693,84.61538461538461,61.53846153846154,9.090909090909092,18.181818181818183,60.0,7.6923076923076925,12.5,12.5,6.25,9.090909090909092,6.666666666666667,0.0,0.0,6.666666666666667,7.142857142857142,7.142857142857142,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,14.285714285714285,0.0,7.6923076923076925,0.0,6.25,0.0,16.666666666666664,9.090909090909092,7.6923076923076925,6.666666666666667
Ovens,20.0,35.714285714285715,13.333333333333334,6.666666666666667,68.75,72.72727272727273,64.70588235294117,57.89473684210527,66.66666666666666,93.33333333333333,85.71428571428571,0.0,81.25,80.0,84.61538461538461,71.42857142857143,61.53846153846154,7.142857142857142,30.76923076923077,63.63636363636363,7.142857142857142,10.0,16.666666666666664,0.0,0.0,5.88235294117647,7.142857142857142,5.88235294117647,5.0,0.0,6.25,7.142857142857142,5.88235294117647,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,11.76470588235294,23.076923076923077,7.6923076923076925,0.0,6.25,6.25,0.0,15.0,8.333333333333332,14.285714285714285,13.333333333333334
Dishwashers,23.52941176470588,27.77777777777778,14.285714285714285,6.25,72.22222222222221,64.28571428571429,56.25,57.14285714285714,64.70588235294117,76.47058823529412,82.35294117647058,81.25,0.0,94.44444444444444,92.85714285714286,66.66666666666666,82.35294117647058,12.5,30.76923076923077,50.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263157894736842,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,5.555555555555555,0.0,0.0,10.0,7.142857142857142,6.666666666666667,5.0
Freezers,17.647058823529413,31.25,0.0,12.5,73.33333333333333,69.23076923076923,70.58823529411765,57.89473684210527,69.23076923076923,86.66666666666667,80.0,80.0,94.44444444444444,0.0,100.0,71.42857142857143,73.33333333333333,0.0,38.46153846153847,33.33333333333333,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,5.88235294117647,0.0,7.6923076923076925,7.142857142857142
Fridges,23.076923076923077,40.0,15.384615384615385,27.27272727272727,73.33333333333333,61.53846153846154,75.0,66.66666666666666,82.35294117647058,92.85714285714286,76.92307692307693,84.61538461538461,92.85714285714286,100.0,0.0,64.28571428571429,75.0,14.285714285714285,30.76923076923077,40.0,0.0,11.11111111111111,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,13.333333333333334,20.0,7.6923076923076925,5.88235294117647
Microwave Ovens,0.0,30.76923076923077,13.333333333333334,20.0,81.25,83.33333333333334,80.0,75.0,84.61538461538461,83.33333333333334,84.61538461538461,71.42857142857143,66.66666666666666,71.42857142857143,64.28571428571429,0.0,58.333333333333336,30.76923076923077,41.66666666666667,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,11.11111111111111,0.0,0.0,0.0,0.0,0.0,6.666666666666667,8.333333333333332,0.0,0.0,0.0,0.0,0.0,13.333333333333334,22.22222222222222,11.11111111111111,13.333333333333334
Washing Machines,38.46153846153847,47.05882352941176,37.5,41.66666666666667,46.666666666666664,50.0,50.0,47.05882352941176,46.666666666666664,70.0,61.53846153846154,61.53846153846154,82.35294117647058,73.33333333333333,75.0,58.333333333333336,0.0,23.076923076923077,78.57142857142857,40.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,6.666666666666667,0.0,8.333333333333332,0.0,0.0,0.0,5.88235294117647,7.6923076923076925,0.0,0.0,7.142857142857142,0.0,8.333333333333332,15.789473684210526,23.076923076923077,15.384615384615385,18.75
Irons,33.33333333333333,38.46153846153847,47.05882352941176,60.0,25.0,38.46153846153847,21.428571428571427,25.0,25.0,18.75,9.090909090909092,7.142857142857142,12.5,0.0,14.285714285714285,30.76923076923077,23.076923076923077,0.0,83.33333333333334,21.428571428571427,18.181818181818183,18.181818181818183,16.666666666666664,6.25,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,9.090909090909092,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,10.0,0.0,0.0,0.0,0.0,35.294117647058826,50.0,50.0,35.294117647058826
Vacuum Cleaners,69.23076923076923,71.42857142857143,64.28571428571429,64.28571428571429,30.76923076923077,30.76923076923077,28.57142857142857,23.076923076923077,30.76923076923077,33.33333333333333,18.181818181818183,30.76923076923077,30.76923076923077,38.46153846153847,30.76923076923077,41.66666666666667,78.57142857142857,83.33333333333334,0.0,45.45454545454545,7.6923076923076925,33.33333333333333,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,7.142857142857142,7.6923076923076925,0.0,0.0,6.25,0.0,8.333333333333332,18.75,25.0,20.0,30.76923076923077
Stand Mixers,22.22222222222222,23.076923076923077,6.666666666666667,18.181818181818183,69.23076923076923,70.0,66.66666666666666,76.92307692307693,72.72727272727273,58.333333333333336,60.0,63.63636363636363,50.0,33.33333333333333,40.0,57.14285714285714,40.0,21.428571428571427,45.45454545454545,0.0,12.5,22.22222222222222,9.090909090909092,0.0,8.333333333333332,8.333333333333332,0.0,9.090909090909092,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.090909090909092,10.0,7.6923076923076925,7.142857142857142,12.5,13.333333333333334,10.0,9.090909090909092,15.384615384615385
Cameras,6.666666666666667,5.88235294117647,17.647058823529413,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,7.142857142857142,0.0,0.0,0.0,0.0,0.0,18.181818181818183,7.6923076923076925,12.5,0.0,90.0,57.89473684210527,73.33333333333333,61.53846153846154,64.28571428571429,50.0,58.82352941176471,52.94117647058824,43.75,44.44444444444444,38.46153846153847,33.33333333333333,15.384615384615385,37.5,33.33333333333333,42.857142857142854,53.84615384615385,43.75,41.17647058823529,42.857142857142854,61.53846153846154,30.76923076923077,35.714285714285715,62.5,46.15384615384615,33.33333333333333,11.76470588235294,14.285714285714285,11.76470588235294
Televisions,37.5,11.11111111111111,23.076923076923077,30.0,7.6923076923076925,0.0,9.090909090909092,0.0,0.0,0.0,12.5,10.0,9.090909090909092,10.0,11.11111111111111,0.0,12.5,18.181818181818183,33.33333333333333,22.22222222222222,90.0,0.0,88.88888888888889,41.66666666666667,50.0,60.0,33.33333333333333,50.0,50.0,25.0,41.66666666666667,20.0,21.428571428571427,22.22222222222222,37.5,44.44444444444444,62.5,60.0,50.0,33.33333333333333,37.5,40.0,14.285714285714285,23.076923076923077,36.36363636363637,33.33333333333333,41.66666666666667,20.0,20.0,18.181818181818183
Radios,5.555555555555555,11.11111111111111,5.555555555555555,11.11111111111111,0.0,14.285714285714285,0.0,0.0,6.25,11.11111111111111,12.5,16.666666666666664,0.0,0.0,6.666666666666667,0.0,0.0,16.666666666666664,12.5,9.090909090909092,57.89473684210527,88.88888888888889,0.0,42.857142857142854,33.33333333333333,47.05882352941176,31.25,27.77777777777778,45.0,47.05882352941176,47.368421052631575,21.428571428571427,25.0,18.75,27.77777777777778,17.647058823529413,31.25,53.333333333333336,55.55555555555556,42.10526315789473,30.76923076923077,60.0,23.076923076923077,20.0,57.89473684210527,50.0,19.047619047619047,6.666666666666667,6.666666666666667,5.88235294117647
Smart Watches,5.555555555555555,0.0,15.789473684210526,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,73.33333333333333,41.66666666666667,42.857142857142854,0.0,87.5,64.70588235294117,71.42857142857143,70.58823529411765,35.294117647058826,27.77777777777778,35.294117647058826,26.666666666666668,25.0,25.0,35.294117647058826,31.25,42.857142857142854,43.75,35.294117647058826,23.52941176470588,41.66666666666667,64.28571428571429,58.333333333333336,16.666666666666664,57.89473684210527,25.0,21.052631578947366,7.142857142857142,6.25,5.88235294117647
