,respondent,time,categories,variant,age,gender,education,income,domain,crt1,crt2,crt3,crtCheck,crtCheckElaborate,att1,labelClarity,sortDifficulty,concentration,timeAmount,cardQuantity,bf1,bf2,bf3,bf4,bf5,bf6,bf7,bf8,bf9,bf10,bf11,bf12,bf13,bf14,bf15,att2,note
77,48,00:09:50,7,E30,25 - 34,Man,Graduate degree,"£30,000 - £39,999",At least once a month,10 pence,20 minutes,12 days,No,Did not answer,Salad,3,2,4,2,2,4,4,2,4,3,4,2,4,4,3,2,3,4,3,3,30,Did not answer
78,49,00:06:58,4,E30,25 - 34,Man,Graduate degree,"£30,000 - £39,999",At least once a week,5 pence,5 minutes,47 days,Yes,all three,Salad,5,4,5,3,4,3,2,4,3,3,3,2,4,2,1,3,4,4,4,4,30,no
79,51,00:06:57,7,E30,35 - 44,Man,Graduate degree,"£75,000 - £100,000",At least once a month,10 pence,100 minutes,47 days,Yes,MQ3,Salad,4,2,4,2,3,5,5,4,5,4,2,3,4,4,2,2,5,4,3,5,30,thanks
80,5,00:24:34,10,B50,18 - 24,Man,High school diploma,"£10,000 - £19,999",At least once a week,5 pence,5 minutes,47 days,No,Did not answer,Salad,4,3,5,2,2,5,3,2,4,1,3,2,4,3,4,3,2,4,4,2,30,Did not answer
81,6,00:16:15,6,B50,18 - 24,Man,Graduate degree,"£10,000 - £19,999",At least once a day,10 pence,100 minutes,24 days,Yes,All of them,Salad,4,3,3,2,3,4,4,2,4,3,2,2,3,3,2,3,3,3,4,3,30,Did not answer
82,8,00:13:01,8,B50,18 - 24,Woman,Graduate degree,"£30,000 - £39,999",At least once a week,10 pence,100 minutes,47 days,No,Did not answer,Salad,4,3,4,3,3,4,3,2,4,4,3,1,3,2,2,3,3,4,3,4,30,Did not answer
83,9,00:07:41,4,B50,18 - 24,Man,High school diploma,"£20,000 - £29,999",At least once a day,10 pence,5 minutes,47 days,Yes,all 3 doing other surveys,Salad,4,3,4,4,3,3,4,3,4,4,3,3,3,1,2,3,4,4,4,4,30,Did not answer
84,10,00:12:05,6,B50,18 - 24,Woman,Undergraduate degree,No income,Less often,5 pence,5 minutes,47 days,No,Did not answer,Salad,4,2,4,3,3,4,3,3,5,5,1,2,4,5,3,4,1,3,1,5,30,no
85,11,00:22:47,11,B50,18 - 24,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a month,5 pence,5 minutes,47 days,Yes,I have encountered all of them before and I know the questions target our biases.,Salad,5,3,4,2,2,5,4,2,2,4,1,1,4,2,1,3,4,4,4,5,30,Did not answer
86,12,00:13:06,7,B50,18 - 24,Man,Technical/community college,"£20,000 - £29,999",Multiple times a day,5 pence,5 minutes,47 days,Yes,I have encountered the bat and ball question before.,Salad,4,4,3,3,2,4,3,2,3,5,3,1,4,3,1,4,5,4,5,2,30,Did not answer
87,15,00:12:35,5,B50,18 - 24,Woman,High school diploma,"£10,000 - £19,999",At least once a day,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,3,5,3,2,5,5,4,4,5,2,3,5,2,3,4,4,5,3,4,30,Did not answer
88,18,00:10:48,10,B50,55+,Woman,High school diploma,"£10,000 - £19,999",Less often,5 pence,5 minutes,47 days,Yes,All of the above.,Salad,3,4,5,3,3,4,4,1,4,5,1,1,4,2,1,2,4,5,2,3,30,I didn't understand one of the terms so had to put that in a separate category.
89,19,00:21:50,9,B50,35 - 44,Woman,Graduate degree,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,24 days,Yes,MQ3,Salad,5,5,5,3,3,2,5,2,3,5,5,1,3,1,1,5,5,5,5,5,12,The study helps me remember to always sort my daily activities according to category and in other of important
90,20,00:29:16,10,B50,25 - 34,Man,Undergraduate degree,"£20,000 - £29,999",Multiple times a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,2,4,2,2,4,5,1,1,5,3,1,1,1,1,5,5,5,5,5,30,"It is a nice study on categorizing things associated with banking, I had a good time completing it."
91,21,00:25:57,4,B50,25 - 34,Woman,Graduate degree,"£30,000 - £39,999",At least once a week,5 pence,5 minutes,47 days,Yes,All of the questions I have encountered either in class quizes or pubs or among friends. ,Salad,4,3,3,1,3,4,4,2,3,4,4,1,1,2,1,2,4,4,4,4,30,no
92,22,00:24:45,5,B50,25 - 34,Man,Undergraduate degree,"£50,000 - £74,999",At least once a day,9 pence,5 minutes,12 days,No,Did not answer,Salad,5,4,5,3,2,3,3,3,4,4,3,3,2,3,5,5,4,5,3,4,30,Did not answer
93,24,00:09:05,7,B50,35 - 44,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a week,10 pence,5 minutes,12 days,No,Did not answer,Salad,3,2,4,3,2,3,4,1,4,3,3,1,3,2,3,3,2,5,4,3,30,Did not answer
94,26,00:12:22,7,B50,25 - 34,Woman,Doctoral degree,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,47 days,No,Did not answer,Salad,3,2,5,3,3,3,5,1,4,4,2,1,2,4,3,2,3,3,2,2,30,
95,28,00:31:14,13,B50,35 - 44,Woman,Doctoral degree,"£75,000 - £100,000",At least once a week,5 pence,5 minutes,47 days,Yes,I think I've seen MQ1 before; it feels familiar.,Salad,4,4,5,3,3,3,4,3,2,3,2,2,2,2,2,4,4,4,3,3,30,Did not answer
96,29,00:31:12,9,B50,25 - 34,Woman,Undergraduate degree,"£10,000 - £19,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,4,4,3,2,1,5,5,1,2,5,2,1,2,1,4,4,5,4,4,4,30,its truly engaging and mind involving. one has to be a critical thinker to sort through things faster. 
97,30,00:09:35,8,B50,45 - 54,Woman,Graduate degree,"£20,000 - £29,999",At least once a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,3,4,4,3,4,4,4,4,4,2,3,2,3,2,3,3,3,3,3,30,Did not answer
98,31,00:23:42,9,B50,55+,Man,Undergraduate degree,"£0 - £9,999",At least once a day,5 pence,5 minutes,47 days,Yes,All three.,Salad,4,2,4,2,2,5,3,2,3,2,1,2,2,4,3,2,3,3,2,4,30,No.
99,32,00:11:04,6,B50,45 - 54,Man,Undergraduate degree,"£30,000 - £39,999",At least once a week,5 pence,5 minutes,47 days,Yes,lily pad one,Salad,5,2,5,3,3,4,2,2,3,2,2,1,2,4,2,2,1,4,3,4,30,Did not answer
100,34,00:08:21,6,B50,25 - 34,Man,Technical/community college,"£20,000 - £29,999",At least once a week,5 pence,5 minutes,47 days,Yes,"I have encountered all three questions in previous studies, as well as variations of them in general quizzes (such as Christmas quizzes) as well as when I was in full time education.",Salad,4,2,4,3,2,3,4,2,4,3,2,2,2,3,2,3,4,4,3,3,30,"No, it was an interesting study. Thank you."
101,35,00:10:48,10,B50,35 - 44,Man,Graduate degree,"£50,000 - £74,999",At least once a month,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,4,5,3,3,2,5,1,3,5,4,1,1,1,1,4,4,5,4,5,30,Did not answer
102,36,00:08:02,8,B50,45 - 54,Man,Graduate degree,"£50,000 - £74,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,5,4,5,3,2,1,3,2,2,4,5,3,1,1,3,4,2,5,5,4,30,Did not answer
103,37,00:24:23,9,B50,35 - 44,Man,Undergraduate degree,"£0 - £9,999",At least once a week,5 pence,5 minutes,47 days,Yes,I have seen all 3 mathematical questions before.,Salad,5,3,5,2,3,5,3,2,5,2,1,2,3,5,3,1,2,3,3,2,30,No comments.
104,38,00:17:17,7,B50,45 - 54,Woman,Secondary education,"£30,000 - £39,999",At least once a day,10 pence,5 minutes,24 days,Yes,M2 the machine and widgets,Salad,4,3,3,3,1,2,5,1,4,2,1,1,1,1,4,4,5,5,3,3,30,
105,40,00:11:18,8,B50,25 - 34,Man,Undergraduate degree,"£20,000 - £29,999",At least once a week,5 pence,20 minutes,47 days,Yes,MQ1 and MQ3,Salad,4,3,4,4,2,4,4,4,4,4,3,4,4,2,2,4,4,4,3,4,30,Did not answer
106,41,00:12:44,10,B50,35 - 44,Man,Technical/community college,"£40,000 - £49,999",Less often,5 pence,5 minutes,47 days,Yes,I seem to remember the question about the lily pads,Salad,3,3,4,3,2,5,4,2,5,4,1,2,4,3,2,2,4,4,3,2,30,Did not answer
107,42,00:08:42,3,B50,45 - 54,Man,Graduate degree,"£40,000 - £49,999",At least once a day,5 pence,5 minutes,47 days,Yes,all 3 of them,Salad,5,4,4,3,3,4,4,2,5,4,3,3,3,2,2,4,3,4,3,4,30,Did not answer
108,43,00:09:45,12,B50,25 - 34,Man,Undergraduate degree,"£30,000 - £39,999",At least once a day,5 pence,5 minutes,47 days,Yes,They are all commonly used questions.,Salad,4,3,5,2,2,5,4,4,4,3,3,1,5,4,3,1,2,4,2,4,30,Did not answer
109,44,00:09:44,12,B50,25 - 34,Woman,Graduate degree,"£20,000 - £29,999",Multiple times a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,4,5,3,3,2,5,2,3,5,4,1,1,1,1,5,4,5,5,5,30,no
110,45,00:11:24,6,B50,25 - 34,Woman,Undergraduate degree,"£20,000 - £29,999",Less often,5 pence,5 minutes,47 days,Yes,only the bat and the ball one,Salad,5,5,5,3,3,3,5,3,5,5,3,2,5,5,3,3,4,3,3,5,30,Did not answer
111,46,00:13:33,5,B50,25 - 34,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a day,10 pence,20 minutes,12 days,No,Did not answer,Salad,5,3,5,3,3,2,5,2,5,3,2,2,4,1,2,3,4,4,4,2,30,no
112,47,00:12:08,6,B50,35 - 44,Man,Technical/community college,"£30,000 - £39,999",At least once a day,10 pence,5 minutes,24 days,No,Did not answer,Salad,5,5,5,3,1,4,4,2,4,3,1,2,3,1,3,4,5,5,5,3,30,No
113,48,00:06:02,4,B50,35 - 44,Man,Graduate degree,"£50,000 - £74,999",At least once a day,10 pence,5 minutes,47 days,No,Did not answer,Salad,5,5,5,3,3,4,4,2,2,3,2,1,2,2,2,4,4,4,4,4,30,Did not answer
114,49,00:07:13,9,B50,35 - 44,Woman,Undergraduate degree,"£40,000 - £49,999",Multiple times a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,5,5,3,1,1,5,3,3,4,2,3,5,2,2,5,4,5,2,2,30,Did not answer
115,50,00:31:51,6,B50,35 - 44,Woman,Doctoral degree,"£40,000 - £49,999",At least once a month,5 pence,5 minutes,24 days,No,Did not answer,Salad,3,2,3,2,1,4,5,1,2,4,3,1,2,2,2,3,2,5,3,5,30,Did not answer
116,51,00:07:02,7,B50,25 - 34,Man,Undergraduate degree,"£50,000 - £74,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Other,3,3,2,2,1,5,3,1,2,2,1,1,1,2,3,3,3,4,3,4,12,Did not answer
117,52,00:13:38,5,B50,25 - 34,Man,Undergraduate degree,"£30,000 - £39,999",At least once a month,5 pence,5 minutes,47 days,Yes,the ball and bat question,Salad,4,4,5,3,2,5,3,4,5,5,3,2,2,3,2,3,3,4,4,4,30,Did not answer
118,54,00:17:04,9,B50,25 - 34,Woman,Undergraduate degree,"£30,000 - £39,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,4,4,5,4,3,1,4,1,4,4,5,3,2,2,3,5,5,5,4,4,30,Did not answer
119,55,00:11:02,8,B50,45 - 54,Woman,Graduate degree,"£40,000 - £49,999",At least once a week,5 pence,5 minutes,47 days,Yes,all of them,Salad,3,4,4,3,2,4,5,2,4,4,2,1,2,2,2,3,4,4,4,3,30,Did not answer
120,8,00:07:35,3,B30,18 - 24,Man,High school diploma,"£20,000 - £29,999",Multiple times a day,10 pence,5 minutes,47 days,No,Did not answer,Salad,4,5,5,4,2,3,4,3,3,4,2,3,3,1,2,3,4,5,4,4,30,Did not answer
121,9,00:05:06,6,B30,18 - 24,Woman,Undergraduate degree,No income,At least once a day,5 pence,5 minutes,47 days,No,Did not answer,Salad,3,3,5,4,4,5,5,2,4,4,2,4,1,5,2,2,5,4,1,4,30,Did not answer
122,10,00:13:56,12,B30,18 - 24,Woman,Undergraduate degree,"£40,000 - £49,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,2,5,2,2,5,5,2,4,4,4,3,1,1,4,3,4,5,5,5,30,Cards were a lot but i luckily powered through it
123,11,00:06:46,3,B30,18 - 24,Man,Undergraduate degree,"£30,000 - £39,999",At least once a day,5 pence,5 minutes,47 days,No,Did not answer,Salad,4,4,3,3,3,4,4,4,2,3,3,2,3,2,1,4,4,3,2,4,30,Did not answer
124,12,00:06:28,4,B30,18 - 24,Woman,Graduate degree,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,47 days,No,Did not answer,Salad,4,4,3,3,2,2,4,2,4,2,4,3,4,3,2,3,3,4,4,3,30,Did not answer
125,13,00:08:35,5,B30,18 - 24,Woman,Technical/community college,"£10,000 - £19,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,2,3,4,2,3,4,3,4,5,4,2,4,2,3,2,4,3,4,4,30,Did not answer
126,14,00:08:15,6,B30,18 - 24,Man,Graduate degree,"£30,000 - £39,999",At least once a week,5 pence,5 minutes,47 days,Yes,All 3,Salad,4,3,4,3,3,1,4,2,3,3,4,2,4,2,3,3,3,4,3,3,30,Did not answer
127,19,00:16:10,9,B30,18 - 24,Man,Technical/community college,"£0 - £9,999",At least once a week,10 pence,5 minutes,47 days,No,Did not answer,Salad,5,3,4,3,3,4,4,2,2,5,3,2,2,2,1,3,3,4,4,4,30,Did not answer
128,21,00:16:12,4,B30,45 - 54,Woman,Undergraduate degree,"£40,000 - £49,999",Multiple times a day,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,4,5,3,3,3,5,2,5,2,2,2,4,3,2,2,4,5,2,2,30,Did not answer
129,22,00:10:52,11,B30,45 - 54,Woman,Secondary education,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,24 days,No,Did not answer,Salad,3,4,2,3,3,3,4,3,4,3,2,2,3,2,3,3,3,3,4,2,30,No
130,23,00:07:37,7,B30,45 - 54,Man,High school diploma,"£20,000 - £29,999",At least once a week,10 pence,500 minutes,12 days,No,Did not answer,Salad,4,3,3,3,3,1,5,3,2,3,4,1,2,2,3,4,5,5,5,4,30,NO
131,24,00:11:52,5,B30,55+,Woman,Graduate degree,"£10,000 - £19,999",At least once a week,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,3,4,3,2,4,4,2,4,4,2,2,2,3,3,3,4,5,2,4,30,Did not answer
132,25,00:09:37,5,B30,45 - 54,Woman,Graduate degree,"£10,000 - £19,999",At least once a week,5 pence,100 minutes,47 days,Yes,The one about the bat and ball has been on a different survey a very long time ago I think.,Salad,5,2,5,3,3,2,4,4,5,5,3,1,4,4,2,2,4,4,2,4,30,no
133,26,00:07:38,4,B30,55+,Man,Secondary education,"£20,000 - £29,999",Multiple times a day,5 pence,5 minutes,47 days,Yes,"All of them, standard cognitive questions",Salad,4,4,5,3,3,3,4,4,3,5,3,3,5,3,2,2,4,4,2,4,30,Did not answer
134,27,00:11:19,6,B30,45 - 54,Man,Graduate degree,"£40,000 - £49,999",At least once a week,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,2,5,3,3,2,5,4,1,4,3,1,2,1,1,4,3,3,1,4,30,Did not answer
135,28,00:16:57,10,B30,45 - 54,Man,High school diploma,"£30,000 - £39,999",At least once a week,10 pence,5 minutes,24 days,No,Did not answer,Salad,5,4,5,3,3,5,4,1,3,3,4,3,1,3,2,4,3,5,4,5,30,Did not answer
136,31,00:18:44,6,B30,25 - 34,Nonbinary,Graduate degree,"£20,000 - £29,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,4,3,2,3,5,4,3,5,5,4,2,4,5,2,3,4,5,2,5,30,
137,35,00:09:37,5,B30,25 - 34,Woman,Graduate degree,"£20,000 - £29,999",At least once a day,10 pence,100 minutes,47 days,No,Did not answer,Salad,4,4,4,3,3,3,4,4,5,4,2,3,5,5,3,2,3,4,2,2,30,Did not answer
138,37,00:12:07,6,B30,25 - 34,Woman,Graduate degree,"£10,000 - £19,999",At least once a day,10 pence,500 minutes,24 days,No,Did not answer,Salad,2,2,5,3,2,4,4,2,4,5,3,2,2,3,1,3,3,5,4,4,30,Did not answer
139,38,00:16:29,8,B30,35 - 44,Man,Graduate degree,"£75,000 - £100,000",At least once a week,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,5,3,4,4,4,4,1,4,5,1,2,4,2,4,2,4,4,2,2,30,Did not answer
140,40,00:08:28,6,B30,25 - 34,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a week,5 pence,5 minutes,47 days,No,,Salad,3,2,4,3,3,3,4,2,5,3,2,4,3,4,3,3,3,3,2,2,30,Did not answer
141,41,00:13:59,4,B30,35 - 44,Woman,Graduate degree,"£40,000 - £49,999",At least once a month,5 pence,5 minutes,47 days,Yes,i have encountered all 3 of these questions in the past on various logic tests,Salad,4,3,5,3,3,5,4,5,5,4,1,1,2,4,2,2,4,4,3,3,30,Did not answer
142,42,00:11:42,7,B30,25 - 34,Man,Graduate degree,"£40,000 - £49,999",Multiple times a day,10 pence,5 minutes,24 days,No,Did not answer,Salad,3,3,4,3,4,4,5,3,4,3,2,2,3,3,2,3,4,3,4,3,30,Did not answer
143,43,00:08:39,6,B30,35 - 44,Woman,Secondary education,"£40,000 - £49,999",At least once a week,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,4,5,3,2,2,5,4,4,3,3,1,4,3,2,4,4,4,3,4,30,No thanks
144,44,00:13:49,5,B30,35 - 44,Woman,Undergraduate degree,"£10,000 - £19,999",At least once a day,5 pence,5 minutes,24 days,No,Did not answer,Salad,5,4,4,3,3,5,5,1,4,3,2,4,4,4,3,2,1,5,4,4,30,It was interesting.
145,45,00:08:48,6,B30,25 - 34,Man,Undergraduate degree,"£20,000 - £29,999",At least once a month,10 pence,500 minutes,47 days,No,Did not answer,Salad,5,4,2,2,3,4,5,5,4,4,2,4,5,3,2,3,5,5,5,4,30,Did not answer
146,46,00:17:31,4,B30,25 - 34,Man,Secondary education,"£30,000 - £39,999",At least once a day,10 pence,5 minutes,24 days,No,Did not answer,Salad,5,4,5,3,3,2,4,2,1,2,4,2,1,1,2,4,4,5,5,4,30,Did not answer
147,47,00:08:21,3,B30,25 - 34,Man,Secondary education,"£20,000 - £29,999",At least once a day,10 pence,100 minutes,24 days,Yes,All three mathematical questions in a previous survey.,Salad,4,2,4,3,3,4,4,4,4,2,2,1,4,2,3,3,3,5,4,2,30,Did not answer
148,50,00:05:42,5,B30,35 - 44,Man,Undergraduate degree,"£20,000 - £29,999",At least once a day,5 pence,5 minutes,47 days,Yes,all,Salad,5,4,5,3,2,5,3,3,5,3,1,3,4,4,2,1,2,4,2,2,30,Did not answer
149,51,00:09:11,10,B30,35 - 44,Woman,Technical/community college,"£0 - £9,999",At least once a month,10 pence,5 minutes,24 days,No,Did not answer,Salad,3,4,3,3,2,4,5,3,5,5,1,1,3,4,2,3,3,4,1,3,30,Did not answer
150,53,00:05:27,4,B30,25 - 34,Woman,Graduate degree,"£30,000 - £39,999",Less often,5 pence,5 minutes,47 days,Yes,"The ball and the bat, and the widgets.",Salad,4,4,5,3,3,5,5,1,3,5,1,1,3,1,1,3,2,5,5,5,30,Did not answer
151,54,00:06:34,4,B30,25 - 34,Woman,Technical/community college,"£20,000 - £29,999",At least once a month,10 pence,5 minutes,24 days,No,Did not answer,Salad,5,4,5,4,3,5,5,1,5,4,2,1,2,2,1,3,4,4,3,4,30,nothing else to add
152,55,00:12:13,4,B30,25 - 34,Woman,Secondary education,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,4,5,4,3,5,5,1,5,5,1,1,1,2,3,2,2,4,1,4,30,Did not answer
153,57,00:10:06,7,B30,25 - 34,Man,Undergraduate degree,"£30,000 - £39,999",At least once a day,10 pence,100 minutes,47 days,Yes,All of them,Salad,5,4,5,2,3,4,4,1,4,4,2,1,1,1,4,4,4,4,5,2,30,Did not answer
154,58,00:07:26,3,B30,25 - 34,Man,Graduate degree,"£40,000 - £49,999",At least once a week,10 pence,5 minutes,47 days,Yes,All of them,Salad,5,4,3,4,3,4,1,2,3,2,5,4,2,5,2,1,1,4,1,5,30,No
155,60,00:07:23,6,B30,35 - 44,Woman,Graduate degree,"More than £100,000",At least once a month,5 pence,5 minutes,12 days,No,Did not answer,Salad,5,4,5,3,2,1,4,1,2,3,5,1,1,1,1,4,4,5,5,3,30,Did not answer
156,61,00:07:39,10,B30,35 - 44,Man,Graduate degree,"£30,000 - £39,999",Less often,10 pence,100 minutes,47 days,No,Did not answer,Salad,4,3,5,3,3,4,5,2,2,5,3,1,3,5,4,3,4,4,2,5,30,Did not answer
157,62,00:14:31,10,B30,35 - 44,Man,Secondary education,"£75,000 - £100,000",At least once a day,10 pence,5 minutes,47 days,No,Did not answer,Salad,4,3,3,3,2,3,3,2,4,2,4,3,2,2,2,3,4,3,4,5,30,No.
158,63,00:08:22,7,B30,35 - 44,Man,Doctoral degree,"£40,000 - £49,999",At least once a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,2,5,3,3,5,5,1,4,4,1,1,1,1,4,3,3,5,5,3,30,Did not answer
159,65,00:08:28,4,B30,35 - 44,Man,Undergraduate degree,"£10,000 - £19,999",At least once a week,10 pence,5 minutes,24 days,No,Did not answer,Salad,5,4,5,3,3,2,3,4,3,5,3,2,3,1,2,3,3,5,3,3,30,
